Name_bal,BSE Code_bal,NSE Code_bal,Industry_bal,Current Price_bal,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization_bal,join_key,Name_rat,BSE Code_rat,NSE Code_rat,Industry_rat,Current Price_rat,Market Capitalization_rat,Price to Earning,Dividend yield,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Earnings yield,Pledged percentage,Industry PE,Enterprise Value,Number of equity shares,Book value,Inventory turnover ratio,Quick ratio,Exports percentage,Piotroski score,G Factor,Asset Turnover Ratio,Financial leverage,Number of Shareholders,Unpledged promoter holding,Return on invested capital,Debtor days,Industry PBV,Credit rating,Working Capital Days,Earning Power,Graham Number,Cash Conversion Cycle,Days Payable Outstanding,Days Receivable Outstanding,Days Inventory Outstanding,Public holding,FII holding,Change in FII holding,Change in DII holding,DII holding,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter,t_1_price,future_return,signal
63 Moons Tech.,526881.0,63MOONS,Computers - Software - Medium / Small,378.2,5.17,9.22,0.0,3338.15,0.0,4.2,3645.3,681.02,0.0,294.28,369.3,0.52,642.2,1883.91,307.64,5.0,0.0,584.84,3645.3,1578.78,5.17,0.0,45.31,2.0,1282.82,0.0,28.5,4.61,4.2,1518.51,386.74,681.02,0.34,1367.62,1390.52,346.36,1129.8,0.5,4.33,497.64,495.25,363.5,363.86,382.31,1742.67,526881.0_63MOONS,63 Moons Tech.,526881.0,63MOONS,Computers - Software - Medium / Small,378.2,1742.67,8.31,0.52,0.53,5.9,0.0,6.49,45.63,51.91,0.0,34.11,465.02,4.61,726.45,,6.12,1.2,8.0,5.0,0.13,1.06,50511.0,45.63,10.95,35.03,3.7,,228.81,5.89,888.42,35.03,,35.03,,49.89,4.35,-2.14,0.0,0.12,676.02,1.99,-2.13,-1.43,47121.0,441.83,0.16824431517715494,Buy
7NR Retail Ltd,540615.0,__NA__,Trading,5.23,5.27,28.01,0.0,0.7,0.58,1.58,43.32,1.64,0.0,0.76,0.61,0.0,1.64,42.66,9.49,0.0,0.0,0.0,43.32,33.32,0.0,3.26,21.84,10.0,0.14,0.0,7.47,2.8,2.16,30.19,0.88,1.64,0.0,11.29,7.12,3.8,0.55,0.15,0.3,0.0,4.25,1.1,1.27,0.86,14.66,540615.0___NA__,7NR Retail Ltd,540615.0,__NA__,Trading,5.23,14.66,,0.0,0.51,-2.41,0.18,-3.79,10.96,-5.39,0.0,60.14,19.79,2.8,10.25,2.07,4.15,0.0,1.0,2.0,0.25,1.6,43624.0,10.96,-2.9,686.02,5.58,,1042.23,-2.38,,562.3,219.53,686.02,95.81,89.05,0.0,0.0,0.0,0.0,10.65,1.76,0.69,1.18,45615.0,4.88,-0.06692160611854694,Sell
7Seas Enter.,540874.0,__NA__,Computers - Software - Medium / Small,60.36,0.36,18.66,0.0,-8.49,1.76,2.22,10.87,1.19,0.0,0.08,3.04,0.35,0.0,6.82,0.54,0.0,0.0,0.0,10.87,6.64,0.0,0.0,0.57,10.0,1.17,0.0,0.06,1.51,3.98,1.73,1.11,1.19,0.35,-0.47,-0.34,8.51,9.3,5.31,6.58,4.92,5.19,0.01,1.25,2.51,112.65,540874.0___NA__,7Seas Enter.,540874.0,__NA__,Computers - Software - Medium / Small,60.36,112.65,117.34,0.0,11.05,13.61,0.04,20.69,37.46,1.17,0.0,34.11,111.84,1.87,5.45,,12.63,0.0,5.0,3.0,1.67,0.69,2903.0,37.46,12.04,17.65,3.7,,169.34,11.5,7.94,17.65,,17.65,,62.53,0.0,0.0,0.0,0.0,-0.59,17.12,13.11,,2676.0,66.49,0.10155732273028488,Buy
A B B,500002.0,ABB,Electric Equipment,8531.25,48.98,42.38,0.0,5902.22,0.0,48.98,11001.19,1577.03,0.0,583.08,993.95,59.92,1.56,9547.49,5014.16,0.0,0.0,577.25,11001.19,4553.38,48.98,1560.76,2544.3,2.0,4816.17,477.36,3109.08,21.19,33.09,3067.17,899.17,1375.92,69.25,2162.95,-308.95,2076.4,1477.28,58.24,6.92,600.04,620.11,782.73,893.14,1254.91,180784.34,500002.0_ABB,A B B,500002.0,ABB,Electric Equipment,8531.0,180779.04,123.62,0.28,30.46,12.28,0.01,22.92,75.0,1.12,0.0,58.82,176011.85,21.19,280.54,4.26,1.59,0.0,9.0,5.0,1.03,1.71,102557.0,75.0,22.8,88.9,8.34,,-9.18,17.84,658.67,-0.4,179.32,88.9,90.02,7.15,11.89,1.17,-0.97,5.95,233.1,23.03,8.79,17.01,102093.0,9620.43,0.12766945054945059,Buy
A B Infrabuild,-1.0,ABINFRA,Construction,55.0,21.43,12.67,0.0,37.33,29.48,2.83,156.62,5.09,0.0,2.14,36.22,1.08,0.18,115.98,57.62,0.0,0.0,0.0,156.62,79.79,0.0,50.51,20.96,10.0,10.04,1.46,17.61,1.43,32.31,53.78,2.94,5.09,2.37,45.77,28.1,29.3,29.35,24.83,25.09,35.38,38.67,1.06,1.98,3.85,273.6,-1.0_ABINFRA,A B Infrabuild,-1.0,ABINFRA,Construction,55.0,273.6,23.36,0.0,3.36,9.35,0.26,33.15,36.82,7.38,0.0,23.53,284.99,4.97,16.41,2.75,1.14,0.0,5.0,4.0,1.47,3.55,231.0,36.82,27.37,64.14,2.74,,103.2,13.53,29.13,94.17,102.5,64.14,132.53,63.18,0.0,0.0,0.0,0.0,24.7,20.15,5.26,19.01,187.0,54.76,-0.0043636363636364,Hold
A B M Internatl.,-1.0,ABMINTLLTD,Trading,61.99,10.05,9.41,0.0,5.45,0.0,0.0,39.15,3.64,0.0,3.04,0.56,0.0,4.68,30.49,24.01,0.0,0.03,18.94,39.15,16.53,0.0,14.11,4.82,10.0,4.21,1.61,13.49,0.94,0.0,10.96,0.6,3.64,0.0,17.68,9.19,7.07,,0.0,0.0,0.18,,0.66,1.45,1.87,58.32,-1.0_ABMINTLLTD,A B M Internatl.,-1.0,ABMINTLLTD,Trading,61.99,58.32,,0.0,3.92,-9.2,0.68,-20.7,74.7,-6.15,0.0,34.16,64.16,0.94,15.8,7.03,0.68,0.0,4.0,3.0,2.52,2.5,1597.0,74.7,-17.56,18.79,3.16,,48.02,-10.27,,21.12,50.76,18.79,53.09,25.3,0.0,0.0,0.0,0.0,19.35,-43.17,-23.51,-34.09,1412.0,55.67,-0.10195192773027908,Sell
A F Enterprises,538351.0,__NA__,Trading,11.3,6.64,14.11,0.0,19.23,0.07,5.47,134.68,12.87,0.0,5.91,5.85,0.0,0.28,125.26,93.62,0.0,0.0,0.21,134.68,31.64,0.0,1.53,117.57,10.0,0.75,8.0,84.0,3.67,5.54,30.28,6.96,12.87,0.0,5.02,,,,3.47,,,,7.17,,,41.46,538351.0___NA__,A F Enterprises,538351.0,__NA__,Trading,10.91,40.03,,0.0,1.21,-0.52,0.2,0.0,5.72,-1.18,0.0,34.16,45.92,3.67,9.09,2.82,1.32,0.0,5.0,3.0,0.06,4.31,7476.0,5.72,0.0,5048.59,3.16,,1326.45,-0.41,,-1808.25,6984.05,5048.59,127.21,94.28,0.0,0.0,0.0,0.0,5.59,-0.67,-0.2,-1.51,5853.0,11.03,-0.02389380530973463,Hold
A G Universal,-1.0,AGUL,Trading,64.4,15.47,4.03,0.0,11.94,16.67,0.0,48.15,13.58,0.0,0.57,8.43,0.0,7.24,29.66,18.12,0.0,1.72,0.0,48.15,14.49,0.0,14.86,9.69,10.0,0.07,1.76,12.76,0.4,16.67,8.39,13.01,13.58,0.0,5.97,,,,9.45,,,,5.15,,,35.31,-1.0_AGUL,A G Universal,-1.0,AGUL,Trading,64.4,35.31,18.4,0.0,2.03,4.34,0.89,28.32,70.64,8.31,0.0,34.16,50.71,0.55,31.77,8.36,0.82,0.0,4.0,3.0,1.77,6.53,236.0,70.64,14.3,55.0,3.16,,38.66,8.47,50.02,15.95,82.73,55.0,43.67,29.35,0.0,0.0,0.0,0.0,,7.32,0.64,4.26,247.0,64.18,-0.0034161490683229634,Hold
A K Spintex,539300.0,__NA__,Textiles - Processing,259.4,7.14,5.03,0.0,33.94,9.93,0.0,68.57,69.97,0.0,42.46,38.13,0.0,0.0,29.49,26.69,0.0,0.0,0.0,68.57,8.09,0.0,7.44,16.87,10.0,0.03,0.0,17.25,0.5,9.93,13.35,27.51,69.97,0.0,11.15,9.73,6.1,9.89,10.97,13.27,9.77,15.52,20.95,22.42,17.62,130.54,539300.0___NA__,A K Spintex,539300.0,__NA__,Textiles - Processing,259.4,130.54,15.46,0.0,3.35,13.16,0.18,24.32,70.76,10.47,0.0,21.29,137.65,0.5,77.45,3.3,0.83,0.0,7.0,5.0,1.83,1.65,3520.0,70.76,19.48,52.52,2.79,,25.09,17.7,171.07,-91.69,253.57,52.52,109.37,29.24,0.0,0.0,0.0,0.0,60.65,27.52,13.05,27.25,3429.0,269.6,0.03932151117964552,Hold
A R C Finance,540135.0,__NA__,Finance & Investments,1.18,16.08,50.5,0.0,0.68,0.88,13.88,71.5,1.57,0.0,0.0,1.37,0.0,0.3,25.26,4.25,0.0,0.0,0.0,71.5,21.01,0.0,23.24,1.24,1.0,0.31,0.0,4.06,50.49,14.76,10.25,1.57,1.57,0.0,1.08,57.87,50.01,0.16,0.09,7.79,0.0,0.01,0.19,0.12,0.01,59.61,540135.0___NA__,A R C Finance,540135.0,__NA__,Finance & Investments,1.18,59.61,220.68,0.0,1.16,0.38,0.31,0.53,12.02,0.61,0.0,23.18,75.38,50.49,1.01,0.45,0.48,0.0,4.0,4.0,0.13,1.39,182228.0,12.02,1.5,48.98,1.78,,817.69,0.64,0.35,937.4,188.06,48.98,1076.47,87.97,0.0,0.0,0.0,0.0,1.02,2.46,0.44,0.64,142377.0,1.11,-0.059322033898304954,Sell
A-1 Acid,542012.0,__NA__,Trading,346.0,10.74,11.5,0.0,36.27,11.16,3.01,63.51,28.0,0.0,11.65,13.12,0.26,4.72,43.2,12.42,0.0,0.0,0.53,63.51,38.84,0.0,1.88,31.04,10.0,6.64,3.38,3.01,1.15,14.17,40.95,16.35,28.0,0.08,40.69,31.07,16.66,,16.61,14.71,18.85,,14.17,14.49,11.24,397.91,542012.0___NA__,A-1 Acid,542012.0,__NA__,Trading,346.0,397.91,361.74,0.43,8.33,1.68,0.22,2.29,70.03,0.61,0.0,34.16,402.01,1.15,41.54,112.53,3.33,0.0,6.0,2.0,3.14,1.37,2028.0,70.03,3.06,54.96,3.16,,57.01,3.89,29.9,52.68,6.06,54.96,3.79,27.07,2.9,0.0,0.0,0.0,42.09,9.79,4.91,7.63,2071.0,363.3,0.05000000000000003,Buy
A.K.Capital Serv,530499.0,__NA__,Finance & Investments,1050.0,2753.92,6.6,0.0,912.47,2117.06,46.94,3806.35,90.49,0.0,20.81,79.15,1.88,2729.05,382.9,92.8,166.45,0.0,0.0,3806.35,290.1,0.0,0.0,1.95,10.0,29.93,3.7,6.61,0.66,2164.0,559.65,69.68,90.49,0.0,603.62,921.58,1146.87,489.64,1391.01,1878.13,2002.0,600.28,65.67,66.53,52.15,693.0,530499.0___NA__,A.K.Capital Serv,530499.0,__NA__,Finance & Investments,1051.0,693.66,7.56,1.13,0.75,2.67,3.0,10.43,71.5,9.27,0.0,23.18,3417.65,0.66,1392.53,0.0,4.13,0.0,5.0,6.0,0.15,3.77,2557.0,71.5,65.01,1.37,1.78,,183.13,8.37,2086.56,1.37,,1.37,,28.5,0.0,0.0,0.0,0.0,1271.79,8.77,3.03,10.96,2342.0,1017.94,-0.03053333333333328,Hold
A2Z Infra Engg.,533292.0,A2ZINFRA,Engineering - Turnkey Services,21.67,197.95,176.12,0.0,-143.94,302.01,11.43,682.96,322.61,0.0,249.87,75.39,57.66,35.61,435.66,603.34,0.0,0.0,334.76,682.96,29.29,0.2,0.0,156.19,10.0,2.86,11.75,277.69,17.61,313.44,121.76,72.74,322.61,54.76,376.89,341.21,605.85,768.93,527.09,434.4,1644.99,1409.45,113.58,168.38,342.31,381.65,533292.0_A2ZINFRA,A2Z Infra Engg.,533292.0,A2ZINFRA,Engineering - Turnkey Services,21.67,381.65,,0.0,11.86,-7.17,6.15,-132.12,28.14,-9.62,99.68,37.82,576.74,17.61,1.83,75.35,0.72,0.0,5.0,3.0,0.46,26.01,41790.0,0.09,-53.49,146.75,4.55,,24.83,-8.2,,146.75,,146.75,0.0,70.25,1.61,0.0,0.0,0.0,2.16,6.57,1.32,15.74,42700.0,19.45,-0.10244577757268122,Sell
AA Plus Trade,543319.0,__NA__,Trading,20.0,1.33,8.16,0.0,5.28,0.0,1.97,26.78,0.02,0.0,0.0,0.03,0.0,0.0,26.74,13.34,0.0,0.0,0.0,26.78,14.73,0.0,0.0,11.44,10.0,0.13,0.0,11.54,2.45,1.97,14.89,0.02,0.02,0.0,7.17,5.4,,,1.14,0.01,,,0.03,0.05,,48.65,543319.0___NA__,AA Plus Trade,543319.0,__NA__,Trading,20.0,48.65,91.8,0.0,3.64,3.43,0.1,4.1,21.32,1.49,0.0,34.16,49.85,2.43,5.49,,2.0,0.0,5.0,2.0,1.29,1.19,360.0,21.32,3.57,60.38,3.16,,271.69,2.73,5.07,60.38,,60.38,0.0,78.68,0.0,0.0,0.0,0.0,5.28,2.06,1.2,1.64,385.0,20.15,0.007499999999999929,Hold
AAA Technologies,543671.0,AAATECH,Computers - Software - Medium / Small,110.9,0.0,12.83,0.0,15.13,0.0,0.0,29.39,3.39,0.0,1.37,1.42,0.0,0.0,27.93,1.43,0.0,0.0,1.06,29.39,26.5,0.0,0.0,5.95,10.0,20.51,0.0,0.0,1.28,0.0,23.39,2.02,3.39,0.0,21.77,6.17,4.21,3.55,0.0,0.54,0.71,0.77,0.97,1.12,0.39,142.24,543671.0_AAATECH,AAA Technologies,543671.0,AAATECH,Computers - Software - Medium / Small,110.9,142.24,44.32,0.46,5.09,11.25,0.0,12.03,71.51,3.54,0.0,34.11,121.73,1.28,21.8,,19.53,1.14,8.0,2.0,0.83,1.02,6542.0,71.51,11.53,91.29,3.7,,91.9,14.63,35.03,91.29,,91.29,,28.5,0.0,0.0,0.0,0.0,19.79,15.93,10.76,11.88,6880.0,105.69,-0.046979260595130815,Hold
Aadhar Hsg. Fin.,544176.0,AADHARHFC,Finance - Housing,416.2,13959.62,394.76,0.0,4054.99,12087.98,65.47,19093.06,90.05,0.0,26.73,79.82,0.0,461.97,1569.58,656.55,0.0,0.0,8.99,19093.06,913.03,0.0,0.0,0.0,10.0,1273.43,2.56,108.64,39.48,12153.45,1486.12,63.32,90.05,0.0,1921.34,867.74,,,10374.47,8194.97,,,53.13,41.67,,17751.69,544176.0_AADHARHFC,Aadhar Hsg. Fin.,544176.0,AADHARHFC,Finance - Housing,416.5,17764.49,23.71,0.0,,4.2,3.14,18.4,76.48,6.46,0.0,20.22,30450.68,42.65,,,2.39,0.0,6.0,5.0,0.14,4.01,730542.0,76.48,153.14,0.0,2.8,,-50.85,10.19,,0.0,,0.0,,11.88,4.47,,,7.17,,10.24,3.64,16.48,,408.06,-0.019557904853435816,Hold
Aadi Industries,530027.0,__NA__,Plastics Products,6.86,6.83,10.0,0.0,-16.69,0.35,6.6,0.19,0.05,0.0,0.04,0.01,0.0,0.0,0.18,6.88,0.0,0.0,14.36,0.19,0.13,0.0,0.0,0.01,10.0,0.09,0.0,0.02,1.0,6.95,0.33,0.02,0.05,0.0,0.43,-6.85,-3.25,4.7,6.53,0.35,3.66,13.07,0.03,0.01,0.02,6.86,530027.0___NA__,Aadi Industries,530027.0,__NA__,Plastics Products,6.86,6.86,,0.0,,-28.57,,,24.86,-0.73,0.0,34.93,13.6,1.0,-6.69,,0.03,,4.0,2.0,0.0,-0.05,5126.0,24.86,-71.43,,3.72,,,-52.63,,,,,,74.89,0.0,0.0,0.0,0.24,-6.6,-43.37,-36.0,,4911.0,6.79,-0.010204081632653102,Hold
Aakash Explor.,-1.0,AAKASH,Oil Drilling / Allied Services,14.16,18.11,10.13,0.0,48.4,11.11,13.07,93.76,88.5,0.0,25.45,59.03,0.0,7.01,33.03,27.2,0.0,0.0,5.08,93.76,17.87,0.0,0.0,24.54,1.0,0.83,0.0,3.12,10.12,24.18,6.09,63.04,88.5,0.0,7.34,13.71,8.08,,18.17,27.03,14.52,,41.95,38.81,19.21,143.37,-1.0_AAKASH,Aakash Explor.,-1.0,AAKASH,Oil Drilling / Allied Services,14.16,143.37,23.09,0.0,2.45,7.01,0.31,11.21,66.67,6.88,0.0,35.73,160.65,10.12,5.78,,1.21,0.0,9.0,5.0,1.04,1.51,37338.0,66.67,9.79,97.12,2.23,,67.44,10.84,8.93,97.12,,97.12,0.0,33.3,0.03,-0.03,0.0,0.0,5.17,11.25,5.97,9.19,33216.0,13.3,-0.06073446327683612,Sell
